estimate_isg,name,value
Low,InvSimpson,6.3058738148547295
Low,Observed,62
Low,Shannon,2.3389152882118833
High,InvSimpson,11.88612362814572
High,Observed,101
High,Shannon,3.0283165722695182
High,InvSimpson,9.789890283385509
High,Observed,95
High,Shannon,2.7510849661514882
High,InvSimpson,2.599290644481153
High,Observed,114
High,Shannon,1.9831595764839485
High,InvSimpson,14.857503674323226
High,Observed,139
High,Shannon,3.280090258169971
High,InvSimpson,12.411802538843853
High,Observed,107
High,Shannon,3.040640682121635
High,InvSimpson,11.28927018395374
High,Observed,124
High,Shannon,3.02964368478701
Low,InvSimpson,7.480247836575204
Low,Observed,68
Low,Shannon,2.535461766618709
High,InvSimpson,13.28696993667465
High,Observed,83
High,Shannon,2.958305912657912
High,InvSimpson,16.339684561483196
High,Observed,104
High,Shannon,3.2920683553484835
High,InvSimpson,9.754205443821169
High,Observed,83
High,Shannon,2.6964457099797965
Low,InvSimpson,15.090634927244333
Low,Observed,91
Low,Shannon,3.19200850131894
Low,InvSimpson,14.719195356963764
Low,Observed,84
Low,Shannon,3.0704369121922324
Low,InvSimpson,6.460819494121135
Low,Observed,84
Low,Shannon,2.7411246348697946
